nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion,espera_hr,espera_tipo,tipo_dia_semana
0,1351,martes,UNITED INTL,KANSAI,asia,Hub,Gates 91-102,2018-12-31,115.0,Limpio,Neutral,Muy satisfecho,1.9166666666666667,medio,weekday
1,373,viernes,ALASKA,SAN JOSE DEL CABO,canada / mexico,Small,Gates 50-59,2018-12-31,135.0,Limpio,Muy seguro,Muy satisfecho,2.25,medio,weekday
2,2820,jueves,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,70.0000000000001,Promedio,Algo seguro,Neutral,1.1666666666666683,medio,weekday
3,1157,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,190.0,Limpio,Muy seguro,Algo satisfecho,3.1666666666666665,largo,weekday
4,2992,miércoles,AMERICAN,MIAMI,east us,Hub,Gates 50-59,2018-12-31,559.0,Sucio,Muy seguro,Algo satisfecho,9.316666666666666,largo,weekday
5,634,jueves,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,140.0,Algo limpio,Muy seguro,Muy satisfecho,2.3333333333333335,medio,weekday
6,2578,sábado,JETBLUE,LONG BEACH,oeste de ee. uu.,Small,Gates 1-12,2018-12-31,62.99999999999989,Limpio,Muy seguro,Algo satisfecho,1.0499999999999983,medio,weekend
8,2592,sábado,AEROMEXICO,CIUDAD DE MÉXICO,canadá / méxico,Hub,Gates 1-12,2018-12-31,215.0,Algo limpio,Muy seguro,Neutral,3.5833333333333335,largo,weekend
9,919,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,70.0000000000001,Algo limpio,Algo seguro,Algo satisfecho,1.1666666666666683,medio,weekday
10,3028,martes,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,180.0,Promedio,Muy seguro,Neutral,3.0,medio,weekday
11,1129,martes,SUDOESTE,SAN DIEGO,oeste de ee. uu.,Medium,Gates 20-39,2018-12-31,540.0,Limpio,Muy seguro,Algo satisfecho,9.0,largo,weekday
12,2648,sábado,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,192.0,Algo limpio,Muy seguro,Algo satisfecho,3.2,largo,weekend
13,3104,martes,UNITED,SPOKANE,oeste de ee. uu.,Small,Gates 70-90,2018-12-31,107.0,Limpio,Muy seguro,Algo satisfecho,1.7833333333333334,medio,weekday
14,2589,sábado,INTERJET,GUADALAJARA,canadá / méxico,Medium,Gates 1-12,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho,2.5833333333333335,medio,weekend
15,2345,martes,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho,2.5833333333333335,medio,weekday
16,390,viernes,ALASKA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,175.0,Algo limpio,Neutral,Algo satisfecho,2.9166666666666665,medio,weekday
